de
que
a
e
o
harry
não
para
um
se
uma
os
com
do
em
ele
da
disse
é
no
rony
na
você
mas
por
as
mais
estava
como
quando
eu
à
era
ao
muito
foi
hagrid
está
dos
coisa
hermione
sua
me
seu
eles
ela
bem
das
cabeça
olhos
isso
até
dumbledore
tinha
vez
perguntou
ter
=
sem
então
vai
ser
só
agora
porta
snape
potter
já
pelo
weasley
parecia
dois
fazer
vocês
nada
lockhart
voz
depois
todos
dizer
lhe
vamos
nunca
havia
alguma
seus
aqui
tão
pela
nem
dele
sr.
draco
fora
lado
nos
quase
estavam
ainda
mesmo
sala
ver
tem
grifinória
tempo
quem
ah
tinham
porque
casa
meu
sobre
grande
onde
enquanto
varinha
hogwarts
escola
duda
malfoy
tudo
antes
viu
senhor
sabe
outra
também
rosto
profa
ou
alunos
tio
todo
volta
deu
chão
lá
mione
válter
mão
cima
dia
vou
alto
neville
dobby
melhor
respondeu
ficou
alguém
dursley
depressa
fred
três
fez
cara
hora
ninguém
noite
frente
pode
riddle
dentro
acho
minha
sonserina
nas
carro
sempre
bom
jorge
gina
estar
aos
falar
estou
outro
olhar
pessoas
isto
sei
madame
pedra
filch
às
cada
tivesse
ano
quirrell
prof
ia
percy
lugar
saiu
meio
pouco
gritou
mesa
exclamou
talvez
tentando
começou
direção
claro
suas
falou
quadribol
primeiro
ar
fazendo
câmara
dar
ali
sra.
olhou
atrás
livros
toda
podia
corredor
num
repente
ficar
assim
garoto
poderia
sabia
coisas
vassoura
mundo
são
nós
trouxas
tenho
capa
professor
boca
minerva
estão
chapéu
sido
bruxo
embora
entre
vezes
vão
cabelos
deles
quero
aula
outros
gente
contra
ouviu
eram
quanto
tia
foram
teve
ir
mãos
certeza
cama
diário
petúnia
saber
hoje
há
qualquer
menos
aí
correndo
magia
pai
pessoa
nome
teria
bruxos
deve
fosse
passar
primeira
livro
trás
mal
abriu
seguinte
finalmente
duas
castelo
entrar
olhando
anos
queria
parede
caminho
numa
vida
devia
mim
pelos
quer
vestes
temos
tentou
aquela
realmente
logo
janela
mcgonagall
carta
segundo
voltar
nariz
será
sorriso
murta
espelho
sair
força
nenhum
família
parou
acha
bateu
aquele
uns
time
instante
novo
sentiu
tanto
menino
momento
minutos
tenha
pensar
conseguiu
manhã
durante
deixou
este
posso
floresta
quarto
professora
cobra
cinco
passou
braço
voldemort
salão
rua
goyle
pontos
alta
seguida
mãe
sangue
contar
luz
demais
essa
pés
algum
silêncio
quatro
pirraça
entrou
tom
seria
verdade
coruja
garotos
murmurou
andar
apenas
enorme
pé
caiu
olívio
estivesse
secreta
continuou
ouviram
sou
deixar
fazia
rúbeo
wood
todas
aconteceu
encontrar
baixo
ouvir
dando
favor
tarde
fogo
ideia
pensou
capítulo
crabbe
dela
professores
alguns
diante
banheiro
dez
escada
desde
atenção
corpo
velho
disso
chegar
mesma
continuava
naquele
pelas
slytherin
fim
difícil
poder
história
teto
nick
parte
escuro
chegou
sim
falando
pudesse
trem
pena
pareceu
voltou
virou
costas
puxou
quê
maior
horas
poção
levantou
olhe
seja
pernas
amigos
razão
armário
tirou
dizendo
modo
muita
feitiço
feito
jogo
canino
boa
dragão
pareciam
vira
granger
ergueu
cheio
óculos
balaço
esse
desapareceu
entrada
perto
cair
tornou
trevas
última
conseguia
preciso
parar
achou
ponta
nosso
grandes
jeito
biblioteca
pomfrey
trasgo
colin
saíram
caso
parecendo
meia
certo
comprar
contou
esperando
levou
comunal
natal
aranhas
sob
matar
exatamente
medo
poções
palavras
ombro
campo
lareira
paredes
longe
umas
cartas
pensando
sorte
bruxas
mulher
justino
vista
mamãe
correu
expressão
qual
andando
testa
aulas
dedos
ficaram
entraram
homem
tentar
forte
agarrou
procurando
caldeirão
feitiços
